Comparison,"Gradients 0","Gradients 1","Gradients 2","Gradients (0, 1)","Gradients (1, 2)","Gradients (2, 0)","Gradients (0, 1, 2)"
"Experts Resting vs. Experts Compassion",0.044295570442955706,0.4022597740225977,0.7652234776522348,0.0486951304869513,0.71002899710029,0.10568943105689431,0.12208779122087791
"Experts Resting vs. Experts Open Monitoring",0.0374962503749625,0.1655834416558344,0.31626837316268375,0.042995700429957005,0.28417158284171584,0.05629437056294371,0.0613938606139386
"Experts Open Monitoring vs. Experts Compassion",0.27177282271772824,0.060193980601939805,0.7194280571942806,0.1937806219378062,0.42955704429557046,0.3932606739326067,0.30686931306869314
"Experts Resting vs. Experts Meditating",0.021597840215978402,0.25547445255474455,0.2308769123087691,0.021597840215978402,0.2662733726627337,0.027597240275972403,0.030896910308969103
"Novices Resting vs. Novices Compassion",0.1100889911008899,9.999000099990002e-05,0.0117988201179882,0.038696130386961305,0.0017998200179982,0.038696130386961305,0.015598440155984402
"Novices Resting vs. Novices Open Monitoring",0.18598140185981402,0.012198780121987801,0.11868813118688132,0.10598940105989402,0.05549445055494451,0.1548845115488451,0.09809019098090191
"Novices Open Monitoring vs. Novices Compassion",0.11228877112288771,0.051094890510948905,0.5581441855814419,0.08549145085491451,0.29757024297570245,0.2425757424257574,0.1932806719328067
"Novices Resting vs. Novices Meditating",0.138986101389861,0.000999900009999,0.026997300269973004,0.05599440055994401,0.011998800119988001,0.0674932506749325,0.0354964503549645
"Experts Resting vs. Novices Resting",0.5435456454354565,0.07029297070292971,0.022397760223977603,0.4296570342965703,0.025597440255974404,0.21807819218078192,0.18518148185181482
"Experts Compassion vs. Novices Compassion",0.9039096090390961,0.1307869213078692,0.8048195180481952,0.7785221477852214,0.58994100589941,0.9403059694030597,0.8700129987001299
"Experts Open Monitoring vs. Novices Open Monitoring",0.5433456654334566,0.11448855114488551,0.3712628737126287,0.48525147485251474,0.2666733326667333,0.4864513548645136,0.45445455454454553
"Experts Meditating vs. Novices Meditating",0.6137386261373863,0.33736626337366266,0.4012598740125987,0.5903409659034097,0.38996100389961,0.5832416758324167,0.569043095690431
"Experts All vs. Novices All",0.826017398260174,0.08749125087491251,0.15098490150984903,0.706029397060294,0.11388861113888611,0.5831416858314169,0.5293470652934706
"Experts Resting vs. Novices Compassion",0.1327867213278672,0.1065893410658934,0.43845615438456154,0.11828817118288171,0.30986901309869014,0.16918308169183083,0.1568843115688431
"Experts Resting vs. Novices Open Monitoring",0.30826917308269175,0.8522147785221478,0.39886011398860116,0.37096290370962903,0.5643435656434357,0.3331666833316668,0.3778622137786221
"Experts Compassion vs. Novices Resting",0.30046995300469953,0.0006999300069993001,0.11688831116888311,0.1250874912508749,0.036896310368963105,0.22397760223977603,0.11238876112388761
"Experts Compassion vs. Novices Open Monitoring",0.2034796520347965,0.6876312368763123,0.8028197180281972,0.2101789821017898,0.8373162683731626,0.33596640335966405,0.34026597340265974
"Experts Open Monitoring vs. Novices Resting",0.8502149785021498,0.0005999400059994001,0.0336966303369663,0.5195480451954805,0.012798720127987202,0.3234676532346765,0.20417958204179582
"Experts Open Monitoring vs. Novices Compassion",0.44985501449855014,0.0714928507149285,0.23547645235476453,0.40085991400859916,0.17168283171682833,0.39146085391460855,0.3427657234276572
"Resting vs. Compassion",0.0100989901009899,9.999000099990002e-05,0.0923907609239076,0.0037996200379962005,0.0174982501749825,0.007799220077992201,0.0052994700529947
"Resting vs. Open Monitoring",0.1312868713128687,0.011898810118988102,0.18908109189081093,0.071992800719928,0.06819318068193181,0.12058794120587941,0.08209179082091791
"Compassion vs. Open Monitoring",0.027297270272972702,0.15358464153584642,0.44725527447255276,0.024897510248975102,0.34356564343565643,0.0655934406559344,0.06819318068193181
"Resting vs. Meditating",0.022397760223977603,0.00039996000399960006,0.09299070092990701,0.009999000099990002,0.022497750224977502,0.025397460253974602,0.010198980101989802
